dea_pr_20260701	https://www.dea.gov/press-releases/2026/07/01/dea-temporarily-schedule-7-oh-and-related-substances-protect-public
fedreg_7oh_threshold_20260706	https://www.federalregister.gov/documents/2026/07/06/2026-13580/schedules-of-controlled-substance-temporary-placement-of-7-hydroxymitragynine-above-a-specified
hhs_fda_commend_dea	https://www.hhs.gov/press-room/hhs-fda-support-dea-7-oh-scheduling.html
wyden_inquiry_20260805	https://www.finance.senate.gov/ranking-members-news/wyden-investigates-trump-and-rfk-jr-corruption-favoring-big-tobacco-and-kratom-companies
crs_lsb11457	https://www.congress.gov/crs-product/LSB11457
publiccitizen_crackdown_that_wasnt	https://www.citizen.org/article/the-food-and-drug-administration-and-gas-station-heroin-the-kratom-crackdown-that-wasnt/
publiccitizen_fake_crackdown	https://www.citizen.org/news/trump-administrations-fake-crackdown-leaves-most-gas-station-heroin-on-the-shelves/
inquirer_allies_in_cabinet_20260616	https://www.inquirer.com/news/nation-world/donald-trump-administration-kratom-20260616.html
statnews_wyden_20260805	https://www.statnews.com/2026/08/05/senator-ron-wyden-investigation-kennedy-flavored-vapes-kratom/
nutraingredients_20260826	https://www.nutraingredients.com/Article/2026/08/26/senators-inquiry-questions-kratom-industrys-influence-on-trump-administrations/
propublica_maha_pac_itemizer	https://projects.propublica.org/itemizer/committee/C00753400/pac-donations/C00686709
missouri_ag_7oh_20260807	https://missouriindependent.com/2026/08/07/missouri-ag-bars-st-louis-company-from-kratom-sales-as-federal-7-oh-ban-looms/
sec_lr_21087_cash_grose	https://www.sec.gov/enforcement-litigation/litigation-releases/lr-21087
sec_complaint_21087_pdf	https://www.sec.gov/files/litigation/complaints/2009/comp21087.pdf
sec_press_2009_139	https://www.sec.gov/news/press/2009/2009-139.htm
fbi_quest_ceo_nine_years	https://archives.fbi.gov/archives/oklahomacity/press-releases/2010/ok111210.htm
basentinel_mullin_stake	https://basentinel.com/mullins-stake-in-broken-arrow-business-draws-scrutiny/
